day,temperature_c,tmin,tmax,precip_mm,wind_speed_ms,visibility_m,month,mean,std,temp_zscore
2025-04-24,10.479166666666666,6.0,14.0,0.0,7.2,7810.145833333333,4,12.413397951993137,2.517985255525502,-0.7681662476307065
2025-04-25,12.0,6.0,18.0,0.0,5.7,8349.65625,4,12.413397951993137,2.517985255525502,-0.164178067002565
2025-04-26,12.625,6.0,19.0,0.0,7.2,7893.677083333333,4,12.413397951993137,2.517985255525502,0.08403625380352048
2025-04-27,13.65625,6.0,22.0,0.0,7.7,8490.572916666666,4,12.413397951993137,2.517985255525502,0.49358988313356145
2025-04-28,14.922222222222222,4.0,23.0,0.0,6.2,8681.111111111111,4,12.413397951993137,2.517985255525502,0.9963617796107769
2025-04-29,17.3125,9.0,24.0,0.0,6.2,9598.958333333334,4,12.413397951993137,2.517985255525502,1.9456436598491613
2025-04-30,18.65625,10.0,27.0,0.0,6.2,9705.197916666666,4,12.413397951993137,2.517985255525502,2.479304449582245
2025-05-01,20.208333333333332,10.0,28.0,0.0,4.6,8959.375,5,14.322978913125253,2.6969855062998898,2.1821972741271605
2025-05-02,17.087912087912088,11.0,27.0,0.0,6.2,8608.736263736264,5,14.322978913125253,2.6969855062998898,1.0251939316426528
2025-05-03,13.741935483870968,8.0,19.0,0.0,8.2,8102.84375,5,14.322978913125253,2.6969855062998898,-0.21544180637864946
2025-05-04,9.989583333333334,6.0,14.0,0.0,8.2,9915.90625,5,14.322978913125253,2.6969855062998898,-1.6067552345644935
2025-05-05,9.645833333333334,4.0,14.0,0.0,7.7,9719.364583333334,5,14.322978913125253,2.6969855062998898,-1.7342123525938764
2025-05-06,10.75268817204301,6.0,16.0,0.0,8.2,9935.989247311827,5,14.322978913125253,2.6969855062998898,-1.3238079080300575
2025-05-07,10.947916666666666,9.0,14.0,0.0,7.7,9981.46875,5,14.322978913125253,2.6969855062998898,-1.2514202388462146
2025-05-08,12.510416666666666,7.0,19.0,0.0,8.8,9838.385416666666,5,14.322978913125253,2.6969855062998898,-0.6720697023490195
2025-05-09,14.666666666666666,8.0,20.0,0.0,7.2,9902.0625,5,14.322978913125253,2.6969855062998898,0.12743403801710945
2025-05-10,16.125,6.0,23.0,0.0,8.2,9856.197916666666,5,14.322978913125253,2.6969855062998898,0.6681612054144916
2025-05-11,17.70212765957447,2.0,25.0,0.0,7.2,9733.197916666666,5,14.322978913125253,2.6969855062998898,1.2529354490618734
2025-05-12,16.612903225806452,11.0,22.0,0.0,4.6,9350.691489361701,5,14.322978913125253,2.6969855062998898,0.8490680826174868
2025-05-13,17.178947368421053,11.0,24.0,0.0,6.2,9609.104166666666,5,14.322978913125253,2.6969855062998898,1.0589483883485995
2025-05-14,15.875,8.0,24.0,0.0,8.8,9532.239583333334,5,14.322978913125253,2.6969855062998898,0.5754651195749404
2025-05-15,11.625,7.0,16.0,0.0,7.7,9972.1875,5,14.322978913125253,2.6969855062998898,-1.0003683396974297
